symbol,name,broad_sector,micro_sector
PANACEABIO,Panacea Biotec,Pharma & Healthcare,Biotech & Drug Discovery
SANOFICONR,Sanofi Consumer Healthcare India,Pharma & Healthcare,Consumer Healthcare & OTC
PGHL,Procter & Gamble Health,Pharma & Healthcare,Consumer Healthcare & OTC
AMRUTANJAN,Amrutanjan Health Care,Pharma & Healthcare,Consumer Healthcare & OTC
TTKHLTCARE,TTK Healthcare,Pharma & Healthcare,Consumer Healthcare & OTC
JSLL,Jeena Sikho Lifecare,Pharma & Healthcare,Consumer Healthcare & OTC
MANIPALHOS,Manipal Health Enterprises,Pharma & Healthcare,Hospitals
PARKHOSPS,Park Medi World,Pharma & Healthcare,Hospitals
KOVAI,Kovai Medical Center & Hospital,Pharma & Healthcare,Hospitals
INDRAMEDCO,Indraprastha Medical Corporation,Pharma & Healthcare,Hospitals
KMCSHIL,K M C Speciality Hospitals (India),Pharma & Healthcare,Hospitals
GKSL,Gujarat Kidney And Super Speciality,Pharma & Healthcare,Hospitals
GPTHEALTH,GPT Healthcare,Pharma & Healthcare,Hospitals
HCG,Healthcare Global Enterprises,Pharma & Healthcare,Specialty Care Chains
NEPHROPLUS,Nephrocare Health Services,Pharma & Healthcare,Specialty Care Chains
GAUDIUMIVF,Gaudium IVF and Women Health,Pharma & Healthcare,Specialty Care Chains
AGARWALEYE,Dr. Agarwal's Health Care,Pharma & Healthcare,Specialty Care Chains
SURAKSHA,Suraksha Diagnostic,Pharma & Healthcare,Diagnostics
MOLBIO,Molbio Diagnostics,Pharma & Healthcare,Medical Devices & Consumables
FISCHER,Fischer Medical Ventures,Pharma & Healthcare,Medical Devices & Consumables
3BBLACKBIO,3B Blackbio Dx,Pharma & Healthcare,Medical Devices & Consumables
IKS,Inventurus Knowledge Solutions,Pharma & Healthcare,Healthcare Services & Distribution
SAGILITY,Sagility,Pharma & Healthcare,Healthcare Services & Distribution
INDGN,Indegene,Pharma & Healthcare,Healthcare Services & Distribution
MEDIASSIST,Medi Assist Healthcare Services,Pharma & Healthcare,Healthcare Services & Distribution
ENTERO,Entero Healthcare Solutions,Pharma & Healthcare,Healthcare Services & Distribution
MEDPLUS,Medplus Health Services,Pharma & Healthcare,Healthcare Services & Distribution
NACLIND,NACL Industries,Chemicals,Agrochemicals
BHAGCHEM,Bhagiradha Chemicals & Industries,Chemicals,Agrochemicals
GSPCROP,GSP Crop Science,Chemicals,Agrochemicals
ASTEC,Astec LifeSciences,Chemicals,Agrochemicals
IPL,India Pesticides,Chemicals,Agrochemicals
DHARMAJ,Dharmaj Crop Guard,Chemicals,Agrochemicals
ADVANCE,Advance Agrolife,Chemicals,Agrochemicals
BESTAGRO,Best Agrolife,Chemicals,Agrochemicals
SHIVALIK,Shivalik Rasayan,Chemicals,Agrochemicals
KSCL,Kaveri Seed Company,Chemicals,Agrochemicals
MBAPL,Madhya Bharat Agro Products,Chemicals,Fertilisers
KRISHANA,Krishana Phoschem,Chemicals,Fertilisers
SPIC,Southern Petrochemicals Industries Corporation,Chemicals,Fertilisers
ZUARI,Zuari Agro Chemicals,Chemicals,Fertilisers
ARIES,Aries Agro,Chemicals,Fertilisers
EPIGRAL,Epigral,Chemicals,Chlor-Alkali & Soda Ash
TGVSL,TGV Sraac,Chemicals,Chlor-Alkali & Soda Ash
ANDHRSUGAR,Andhra Sugars,Chemicals,Chlor-Alkali & Soda Ash
STALLION,Stallion India Fluorochemicals,Chemicals,Fluorochemicals
SPLPETRO,Supreme Petrochem,Chemicals,Petrochemicals & Polymers
STYRENIX,Styrenix Performance Materials,Chemicals,Petrochemicals & Polymers
BEPL,Bhansali Engineering Polymers,Chemicals,Petrochemicals & Polymers
KINGFA,Kingfa Science & Technology (India),Chemicals,Petrochemicals & Polymers
IGPL,IG Petrochemicals,Chemicals,Petrochemicals & Polymers
TIRUMALCHM,Thirumalai Chemicals,Chemicals,Petrochemicals & Polymers
MANALIPETC,Manali Petrochemicals,Chemicals,Petrochemicals & Polymers
TNPETRO,Tamilnadu PetroProducts,Chemicals,Petrochemicals & Polymers
APCOTEXIND,Apcotex Industries,Chemicals,Petrochemicals & Polymers
DDEVPLSTIK,Ddev Plastiks Industries,Chemicals,Petrochemicals & Polymers
JUBLCPL,Jubilant Agri and Consumer Products,Chemicals,Petrochemicals & Polymers
PLATIND,Platinum Industries,Chemicals,Petrochemicals & Polymers
PCBL,PCBL Chemical,Chemicals,Carbon Black & Carbon Materials
HSCL,Himadri Speciality Chemical,Chemicals,Carbon Black & Carbon Materials
RAIN,Rain Industries,Chemicals,Carbon Black & Carbon Materials
SUDARSCHEM,Sudarshan Chemical Industries,Chemicals,Pigments & Dyes
KIRIINDUS,Kiri Industries,Chemicals,Pigments & Dyes
BODALCHEM,Bodal Chemicals,Chemicals,Pigments & Dyes
BHAGERIA,Bhageria Industries,Chemicals,Pigments & Dyes
SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers,Chemicals,Pigments & Dyes
ULTRAMAR,Ultramarine & Pigments,Chemicals,Pigments & Dyes
MOL,Meghmani Organics,Chemicals,Pigments & Dyes
PRIVISCL,Privi Speciality Chemicals,Chemicals,"Flavours, Fragrances & Ingredients"
SHK,S H Kelkar and Company,Chemicals,"Flavours, Fragrances & Ingredients"
OAL,Oriental Aromatics,Chemicals,"Flavours, Fragrances & Ingredients"
GEMAROMA,Gem Aromatics,Chemicals,"Flavours, Fragrances & Ingredients"
CAMLINFINE,Camlin Fine Sciences,Chemicals,"Flavours, Fragrances & Ingredients"
AVTNPL,AVT Natural Products,Chemicals,"Flavours, Fragrances & Ingredients"
SANSTAR,Sanstar,Chemicals,"Flavours, Fragrances & Ingredients"
ADVENZYMES,Advanced Enzyme Technologies,Chemicals,"Flavours, Fragrances & Ingredients"
PIDILITIND,Pidilite Industries,Chemicals,Industrial & Construction Chemicals
ELANTAS,Elantas Beck India,Chemicals,Industrial & Construction Chemicals
GRAUWEIL,Grauer & Weil India,Chemicals,Industrial & Construction Chemicals
FOSECOIND,Foseco India,Chemicals,Industrial & Construction Chemicals
RPEL,Raghav Productivity Enhancers,Chemicals,Industrial & Construction Chemicals
JUBLINGREA,Jubilant Ingrevia,Chemicals,Amines & Intermediates
AETHER,Aether Industries,Chemicals,Amines & Intermediates
TATVA,Tatva Chintan Pharma Chem,Chemicals,Amines & Intermediates
VALIANTORG,Valiant Organics,Chemicals,Amines & Intermediates
BASF,BASF India,Chemicals,Specialty & Performance Chemicals
NEOGEN,Neogen Chemicals,Chemicals,Specialty & Performance Chemicals
FCL,Fineotex Chemical,Chemicals,Specialty & Performance Chemicals
VISHNU,Vishnu Chemicals,Chemicals,Specialty & Performance Chemicals
YASHO,Yasho Industries,Chemicals,Specialty & Performance Chemicals
PAUSHAKLTD,Paushak,Chemicals,Specialty & Performance Chemicals
EXCELINDUS,Excel Industries,Chemicals,Specialty & Performance Chemicals
GANESHBE,Ganesh Benzoplast,Chemicals,Specialty & Performance Chemicals
KRONOX,Kronox Lab Sciences,Chemicals,Specialty & Performance Chemicals
DMCC,Dmcc Speciality Chemicals,Chemicals,Specialty & Performance Chemicals
INDIAGLYCO,India Glycols,Chemicals,Specialty & Performance Chemicals
INDOBORAX,Indo Borax & Chemicals,Chemicals,Specialty & Performance Chemicals
ACI,Archean Chemical Industries,Chemicals,Specialty & Performance Chemicals
LINDEINDIA,Linde India,Chemicals,Specialty & Performance Chemicals
ELLEN,Ellenbarrie Industrial Gases,Chemicals,Specialty & Performance Chemicals
GOCLCORP,GOCL Corporation,Chemicals,Specialty & Performance Chemicals
SIRCA,Sirca Paints India,Chemicals,Paints & Coatings
PREMEXPLN,Premier Explosives,Capital Goods,Defence
EIDPARRY,EID Parry India,Agri & Food Commodities,Sugar & Ethanol
GODAVARIB,Godavari Biorefineries,Agri & Food Commodities,Sugar & Ethanol
GULPOLY,Gulshan Polyols,Agri & Food Commodities,Sugar & Ethanol
GULFOILLUB,Gulf Oil Lubricants India,"Oil, Gas & Energy",Lubricants & Specialty Oils
SOTL,Savita Oil Technologies,"Oil, Gas & Energy",Lubricants & Specialty Oils
VEEDOL,Veedol Corporation,"Oil, Gas & Energy",Lubricants & Specialty Oils
GRWRHITECH,Garware Hi-Tech Films,"Paper, Packaging & Plastics",Films & Flexible Packaging
POLYPLEX,Polyplex Corporation,"Paper, Packaging & Plastics",Films & Flexible Packaging
XPROINDIA,Xpro India,"Paper, Packaging & Plastics",Films & Flexible Packaging
SHAILY,Shaily Engineering Plastics,"Paper, Packaging & Plastics",Plastic Products
RESPONIND,Responsive Industries,"Paper, Packaging & Plastics",Plastic Products
PREMIERPOL,Premier Polyfilm,"Paper, Packaging & Plastics",Plastic Products
JAICORPLTD,Jai Corp,"Paper, Packaging & Plastics",Plastic Products
TINNARUBR,Tinna Rubber and Infrastructure,"Paper, Packaging & Plastics",Plastic Products
POCL,Pondy Oxides & Chemicals,Metals & Mining,Metal Recycling
ATLANTAELE,Atlanta Electricals,Capital Goods,Power T&D Equipment
QPOWER,Quality Power Electrical Equipments,Capital Goods,Power T&D Equipment
SHILCTECH,Shilchar Technologies,Capital Goods,Power T&D Equipment
INDOTECH,Indo Tech Transformers,Capital Goods,Power T&D Equipment
MARSONS,Marsons,Capital Goods,Power T&D Equipment
MEIL,Mangal Electrical Industries,Capital Goods,Power T&D Equipment
GENUSPOWER,Genus Power Infrastructures,Capital Goods,Power T&D Equipment
TDPOWERSYS,TD Power Systems,Capital Goods,Electric Motors & Generators
KECL,Kirloskar Electric Company,Capital Goods,Electric Motors & Generators
BBL,Bharat Bijlee,Capital Goods,Electric Motors & Generators
MVELECTRO,MV Electrosystems,Capital Goods,Electric Motors & Generators
HIRECT,Hirect,Capital Goods,Electric Motors & Generators
PRECWIRE,Precision Wires India,Capital Goods,Winding & Magnet Wires
KSHINTL,KSH International,Capital Goods,Winding & Magnet Wires
RAMRAT,Ram Ratna Wires,Capital Goods,Winding & Magnet Wires
VIDYAWIRES,Vidya Wires,Capital Goods,Winding & Magnet Wires
APARINDS,Apar Industries,Capital Goods,Cables & Wires
LASERPOWER,Laser Power & Infra,Capital Goods,Cables & Wires
DYCL,Dynamic Cables,Capital Goods,Cables & Wires
VINDHYATEL,Vindhya Telelinks,Capital Goods,Cables & Wires
CORDSCABLE,Cords Cable Industries,Capital Goods,Cables & Wires
LUMINO,Lumino Industries,Capital Goods,Cables & Wires
HBLENGINE,HBL Engineering,Capital Goods,Batteries & Energy Storage
ARE&M,Amara Raja Energy & Mobility,Capital Goods,Batteries & Energy Storage
EXICOM,Exicom Tele-Systems,Capital Goods,Batteries & Energy Storage
PROSTARM,Prostarm Info Systems,Capital Goods,Batteries & Energy Storage
MARINE,Marine Electricals (India),Capital Goods,Electrical Components & Switchgear
SPECTRUM,Spectrum Electrical Industries,Capital Goods,Electrical Components & Switchgear
MODISONLTD,Modison,Capital Goods,Electrical Components & Switchgear
SALZERELEC,Salzer Electronics,Capital Goods,Electrical Components & Switchgear
RMC,RMC Switchgears,Capital Goods,Electrical Components & Switchgear
HPL,HPL Electric & Power,Capital Goods,Electrical Components & Switchgear
KSB,Ksb,Capital Goods,Engines & Pumps
POWERICA,Powerica,Capital Goods,Engines & Pumps
GREAVESCOT,Greaves Cotton,Capital Goods,Engines & Pumps
OSWALPUMPS,Oswal Pumps,Capital Goods,Engines & Pumps
ELGIEQUIP,Elgi Equipments,Capital Goods,Compressors
INGERRAND,Ingersoll Rand (India),Capital Goods,Compressors
KIRLPNU,Kirloskar Pneumatic Company,Capital Goods,Compressors
JYOTICNC,Jyoti CNC Automation,Capital Goods,Machine Tools & Production Machinery
MACPOWER,Macpower CNC Machines,Capital Goods,Machine Tools & Production Machinery
LOKESHMACH,Lokesh Machines,Capital Goods,Machine Tools & Production Machinery
WINDMACHIN,Windsor Machines,Capital Goods,Machine Tools & Production Machinery
KABRAEXTRU,Kabra Extrusion Technik,Capital Goods,Machine Tools & Production Machinery
MAMATA,Mamata Machinery,Capital Goods,Machine Tools & Production Machinery
LMW,LMW,Capital Goods,Machine Tools & Production Machinery
LCL,Lohia Corp,Capital Goods,Machine Tools & Production Machinery
AZAD,Azad Engineering,Capital Goods,Precision Engineering Components
OMNI,Omnitech Engineering,Capital Goods,Precision Engineering Components
GALAPREC,Gala Precision Engineering,Capital Goods,Precision Engineering Components
SHANTIGEAR,Shanthi Gears,Capital Goods,Precision Engineering Components
PIXTRANS,Pix Transmissions,Capital Goods,Precision Engineering Components
YUKEN,Yuken India,Capital Goods,Precision Engineering Components
HTEL,Hy-Tech Engineers,Capital Goods,Precision Engineering Components
RAYMOND,Raymond,Capital Goods,Precision Engineering Components
INOXINDIA,INOX India,Capital Goods,Industrial Machinery
TEGA,Tega Industries,Capital Goods,Industrial Machinery
LLOYDSENGG,Lloyds Engineering Works,Capital Goods,Industrial Machinery
SETL,Standard Engineering Technology,Capital Goods,Industrial Machinery
JASH,Jash Engineering,Capital Goods,Industrial Machinery
ANUP,Anup Engineering,Capital Goods,Industrial Machinery
HLEGLAS,HLE Glascoat,Capital Goods,Industrial Machinery
THEJO,Thejo Engineering,Capital Goods,Industrial Machinery
JNKINDIA,JNK India,Capital Goods,Industrial Machinery
DIFFNKG,Diffusion Engineers,Capital Goods,Industrial Machinery
ADOR,Ador Welding,Capital Goods,Industrial Machinery
EKC,Everest Kanto Cylinder,Capital Goods,Industrial Machinery
KLBRENG-B,Kilburn Engineering,Capital Goods,Industrial Machinery
HONAUT,Honeywell Automation India,Capital Goods,Industrial Machinery
WALCHANNAG,Walchandnagar Industries,Capital Goods,Industrial Machinery
VESUVIUS,Vesuvius India,Capital Goods,"Abrasives, Refractories & Welding"
INTERARCH,Interarch Building Solutions,Capital Goods,Pre-Engineered Buildings
EPACKPEB,EPack Prefab Technologies,Capital Goods,Pre-Engineered Buildings
MBEL,M & B Engineering,Capital Goods,Pre-Engineered Buildings
PENIND,Pennar Industries,Capital Goods,Pre-Engineered Buildings
KRISHNADEF,Krishna Defence And Allied Industries,Capital Goods,Defence
ELIN,Elin Electronics,Capital Goods,Electronics Manufacturing Services
LT,Larsen & Toubro,Construction & Infrastructure,Diversified EPC & Construction
NCC,NCC,Construction & Infrastructure,Diversified EPC & Construction
ENGINERSIN,Engineers India,Construction & Infrastructure,Diversified EPC & Construction
AFCONS,Afcons Infrastructure,Construction & Infrastructure,Diversified EPC & Construction
CEMPRO,Cemindia Projects,Construction & Infrastructure,Diversified EPC & Construction
HCC,Hindustan Construction Company,Construction & Infrastructure,Diversified EPC & Construction
PATELENG,Patel Engineering,Construction & Infrastructure,Diversified EPC & Construction
SIMPLEXINF,Simplex Infrastructures,Construction & Infrastructure,Diversified EPC & Construction
RAMKY,Ramky Infrastructure,Construction & Infrastructure,Diversified EPC & Construction
SEPC,SEPC,Construction & Infrastructure,Diversified EPC & Construction
GPTINFRA,GPT Infraprojects,Construction & Infrastructure,Diversified EPC & Construction
RIIL,Reliance Industrial Infrastructure,Construction & Infrastructure,Diversified EPC & Construction
DREDGECORP,Dredging Corporation of India,Construction & Infrastructure,Diversified EPC & Construction
GRINFRA,G R Infraprojects,Construction & Infrastructure,Roads & Highways
DBL,Dilip Buildcon,Construction & Infrastructure,Roads & Highways
CEIGALL,Ceigall India,Construction & Infrastructure,Roads & Highways
PNCINFRA,PNC Infratech,Construction & Infrastructure,Roads & Highways
KNRCON,KNR Constructions,Construction & Infrastructure,Roads & Highways
ASHOKA,Ashoka Buildcon,Construction & Infrastructure,Roads & Highways
HGINFRA,H.G. Infra Engineering,Construction & Infrastructure,Roads & Highways
SRM,SRM Contractors,Construction & Infrastructure,Roads & Highways
VPRPL,Vishnu Prakash R Punglia,Construction & Infrastructure,Roads & Highways
GAYAPROJ,Gayatri Projects,Construction & Infrastructure,Roads & Highways
WELENT,Welspun Enterprises,Construction & Infrastructure,Roads & Highways
JKIL,J.Kumar Infraprojects,Construction & Infrastructure,Roads & Highways
RVNL,Rail Vikas Nigam,Construction & Infrastructure,Railway Infrastructure
IRCON,Ircon International,Construction & Infrastructure,Railway Infrastructure
RITES,RITES,Construction & Infrastructure,Railway Infrastructure
NBCC,NBCC (India),Construction & Infrastructure,Buildings & Civil Construction
AHLUCONT,Ahluwalia Contracts (India),Construction & Infrastructure,Buildings & Civil Construction
PSPPROJECT,PSP Projects,Construction & Infrastructure,Buildings & Civil Construction
CAPACITE,Capacit'e Infraprojects,Construction & Infrastructure,Buildings & Civil Construction
GARUDA,Garuda Construction and Engineering,Construction & Infrastructure,Buildings & Civil Construction
BLKASHYAP,B. L. Kashyap and Sons,Construction & Infrastructure,Buildings & Civil Construction
MANINFRA,Man Infraconstruction,Construction & Infrastructure,Buildings & Civil Construction
GENCON,Generic Engineering Construction and Projects,Construction & Infrastructure,Buildings & Civil Construction
ATALREAL,Atal Realtech,Construction & Infrastructure,Buildings & Civil Construction
ARIS,Arisinfra Solutions,Construction & Infrastructure,Buildings & Civil Construction
KEC,KEC International,Construction & Infrastructure,Power & T&D EPC
KPIL,Kalpataru Projects International,Construction & Infrastructure,Power & T&D EPC
TECHNOE,Techno Electric & Engineering Company,Construction & Infrastructure,Power & T&D EPC
TRANSRAILL,Transrail Lighting,Construction & Infrastructure,Power & T&D EPC
POWERMECH,Power Mech Projects,Construction & Infrastructure,Power & T&D EPC
VIKRAN,Vikran Engineering,Construction & Infrastructure,Power & T&D EPC
VIVIANA,Viviana Power Tech,Construction & Infrastructure,Power & T&D EPC
OMPOWER,Om Power Transmission,Construction & Infrastructure,Power & T&D EPC
SKIPPER,Skipper,Construction & Infrastructure,Power & T&D EPC
JYOTISTRUC,Jyoti Structures,Construction & Infrastructure,Power & T&D EPC
GVPIL,GE Power India,Construction & Infrastructure,Power & T&D EPC
BGRENERGY,BGR Energy Systems,Construction & Infrastructure,Power & T&D EPC
ADVAIT,Advait Energy Transitions,Construction & Infrastructure,Power & T&D EPC
WABAG,VA Tech Wabag,Construction & Infrastructure,Water & Environment Infrastructure
EIEL,Enviro Infra Engineers,Construction & Infrastructure,Water & Environment Infrastructure
EMSLIMITED,EMS,Construction & Infrastructure,Water & Environment Infrastructure
SPMLINFRA,SPML Infra,Construction & Infrastructure,Water & Environment Infrastructure
DENTA,Denta Water and Infra Solutions,Construction & Infrastructure,Water & Environment Infrastructure
INDIANHUME,Indian Hume Pipe Company,Construction & Infrastructure,Water & Environment Infrastructure
HAVELLS,Havells India,Consumer Durables,Consumer Electricals
VGUARD,V-Guard Industries,Consumer Durables,Consumer Electricals
EVEREADY,Eveready Industries India,Consumer Durables,Consumer Electricals
GRAPHITE,Graphite India,Chemicals,Carbon Black & Carbon Materials
AXISCADES,AXISCADES Technologies,Information Technology,Engineering R&D Services
CEINSYS,Ceinsys Tech,Information Technology,Engineering R&D Services
LOTUSDEV,Sri Lotus Developers and Realty,Real Estate,Real Estate Developers - Mid & Small
SIGMAADV,Sigma Advanced Systems,Capital Goods,Defence
SWANDEF,Swan Defence and Heavy Industries,Capital Goods,Defence
DCXINDIA,DCX Systems,Capital Goods,Defence
NIBE,NIBE,Capital Goods,Defence
AEQUS,Aequs,Capital Goods,Aerospace Components
UNIMECH,Unimech Aerospace and Manufacturing,Capital Goods,Aerospace Components
ROSSTECH,Rossell Techsys,Capital Goods,Aerospace Components
SIKA,Sika Interplant Systems,Capital Goods,Aerospace Components
SKFINDUS,SKF India (Industrial),Capital Goods,Bearings
HARSHA,Harsha Engineers International,Capital Goods,Bearings
ROLEXRINGS,Rolex Rings,Capital Goods,Bearings
BHARATFORG,Bharat Forge,Capital Goods,Castings & Forgings
HAPPYFORGE,Happy Forgings,Capital Goods,Castings & Forgings
RKFORGE,Ramkrishna Forgings,Capital Goods,Castings & Forgings
BALUFORGE,Balu Forge Industries,Capital Goods,Castings & Forgings
MMFL,MM Forgings,Capital Goods,Castings & Forgings
KIRLFER,Kirloskar Ferrous Industries,Capital Goods,Castings & Forgings
KIRLOSIND,Kirloskar Industries,Capital Goods,Castings & Forgings
PTCIL,PTC Industries,Capital Goods,Castings & Forgings
ALICON,Alicon Castalloy,Capital Goods,Castings & Forgings
TIRUPATIFL,Tirupati Forge,Capital Goods,Castings & Forgings
INDOMIM,INDO-MIM,Capital Goods,Precision Engineering Components
PITTIENG,Pitti Engineering,Capital Goods,Precision Engineering Components
UNIPARTS,Uniparts India,Capital Goods,Precision Engineering Components
AEROFLEX,Aeroflex Industries,Capital Goods,Industrial Machinery
SBCL,Shivalik Bimetal Controls,Capital Goods,Industrial Machinery
DEEDEV,DEE Development Engineers,Capital Goods,Industrial Machinery
TEMBO,Tembo Global Industries,Capital Goods,Industrial Machinery
COCKERILL,John Cockerill India,Capital Goods,Industrial Machinery
TIIL,Technocraft Industries (India),Capital Goods,Industrial Machinery
CONTROLPR,Control Print,Capital Goods,Industrial Machinery
JAYKAY,Jaykay Enterprises,Capital Goods,Industrial Machinery
GRINDWELL,Grindwell Norton,Capital Goods,"Abrasives, Refractories & Welding"
CARBORUNIV,Carborundum Universal,Capital Goods,"Abrasives, Refractories & Welding"
KENNAMET,Kennametal India,Capital Goods,"Abrasives, Refractories & Welding"
WENDT,Wendt (India),Capital Goods,"Abrasives, Refractories & Welding"
ESABINDIA,Esab India,Capital Goods,"Abrasives, Refractories & Welding"
BIRLAPREC,Birla Precision Technologies,Capital Goods,"Abrasives, Refractories & Welding"
RHIM,Rhi Magnesita India,Capital Goods,"Abrasives, Refractories & Welding"
ACE,Action Construction Equipment,Capital Goods,Construction & Mining Equipment
AJAXENGG,Ajax Engineering,Capital Goods,Construction & Mining Equipment
TIL,TIL,Capital Goods,Construction & Mining Equipment
EIMCOELECO,Eimco Elecon (India),Capital Goods,Construction & Mining Equipment
SANGHVIMOV,Sanghvi Movers,Capital Goods,Construction & Mining Equipment
TITAGARH,Titagarh Rail Systems,Capital Goods,Railway Equipment
JWL,Jupiter Wagons,Capital Goods,Railway Equipment
TEXRAIL,Texmaco Rail & Engineering,Capital Goods,Railway Equipment
QUADFUTURE,Quadrant Future Tek,Capital Goods,Railway Equipment
ORIRAIL,Oriental Rail Infrastructure,Capital Goods,Railway Equipment
FRONTSP,Frontier Springs,Capital Goods,Railway Equipment
ESCORTS,Escorts Kubota,Auto & Auto Components,Tractors & Farm Equipment
VSTTILLERS,V.S.T Tillers Tractors,Auto & Auto Components,Tractors & Farm Equipment
INDOFARM,Indo Farm Equipment,Auto & Auto Components,Tractors & Farm Equipment
ASHOKLEY,Ashok Leyland,Auto & Auto Components,Commercial Vehicles
OLECTRA,Olectra Greentech,Auto & Auto Components,Commercial Vehicles
GRAVITA,Gravita India,Metals & Mining,Metal Recycling
ARDEE,Ardee Industries,Metals & Mining,Metal Recycling
NRL,Nupur Recyclers,Metals & Mining,Metal Recycling
MANAKCOAT,Manaksia Coated Metals & Industries,Metals & Mining,Steel - Secondary & Long Products
SGMART,SG Mart,Metals & Mining,Steel - Secondary & Long Products
NAVA,Nava,Metals & Mining,Ferro Alloys
SUPREMEIND,Supreme Industries,Construction Materials,Pipes
ASTRAL,Astral,Construction Materials,Pipes
FINPIPE,Finolex Industries,Construction Materials,Pipes
PRINCEPIPE,Prince Pipes And Fittings,Construction Materials,Pipes
APOLLOPIPE,Apollo Pipes,Construction Materials,Pipes
ELECTCAST,Electrosteel Castings,Construction Materials,Pipes
JISLJALEQS,Jain Irrigation Systems,Construction Materials,Pipes
KAJARIACER,Kajaria Ceramics,Construction Materials,"Tiles, Sanitaryware & Stone"
SOMANYCERA,Somany Ceramics,Construction Materials,"Tiles, Sanitaryware & Stone"
NITCO,Nitco,Construction Materials,"Tiles, Sanitaryware & Stone"
ASIANTILES,Asian Granito India,Construction Materials,"Tiles, Sanitaryware & Stone"
ORIENTBELL,Orient Bell,Construction Materials,"Tiles, Sanitaryware & Stone"
POKARNA,Pokarna,Construction Materials,"Tiles, Sanitaryware & Stone"
CERA,Cera Sanitaryware,Construction Materials,"Tiles, Sanitaryware & Stone"
BIRLANU,BirlaNu,Construction Materials,Roofing & Building Boards
VISAKAIND,Visaka Industries,Construction Materials,Roofing & Building Boards
RAMCOIND,Ramco Industries,Construction Materials,Roofing & Building Boards
BLUESTARCO,Blue Star,Consumer Durables,Air Conditioning & Refrigeration
CPPLUS,Aditya Infotech,Consumer Durables,Consumer Electronics
DOMS,DOMS Industries,FMCG,Stationery & Writing Instruments
FLAIR,Flair Writing Industries,FMCG,Stationery & Writing Instruments
NAVNETEDUL,Navneet Education,FMCG,Stationery & Writing Instruments
HNDFDS,Hindustan Foods,FMCG,Personal & Home Care
TIINDIA,Tube Investments of India,Diversified,Conglomerates
3MINDIA,3M India,Diversified,Conglomerates
GODREJIND,Godrej Industries,Diversified,Conglomerates
MMTC,MMTC,Diversified,Conglomerates
BALMLAWRIE,Balmer Lawrie & Company,Diversified,Conglomerates
ZUARIIND,Zuari Industries,Diversified,Conglomerates
CYIENT,Cyient,Information Technology,Engineering R&D Services
TAALTECH,Taal Tech,Information Technology,Engineering R&D Services
LATENTVIEW,Latent View Analytics,Information Technology,"AI, Data & Cloud"
SWANCORP,Swan Corp,Textiles & Apparel,Fabrics & Integrated Textiles
SBC,SBC Exports,Textiles & Apparel,Fabrics & Integrated Textiles
PDSL,PDS,Textiles & Apparel,Apparel Sourcing & Exports
NESCO,Nesco,Real Estate,Commercial & Rental Real Estate
PVP,PVP Ventures,Real Estate,Real Estate Developers - Mid & Small
IRB,IRB Infrastructure Developers,Construction & Infrastructure,Roads & Highways
MARKOLINES,Markolines Pavement Technologies,Construction & Infrastructure,Roads & Highways
ANNU,Annu Projects,Construction & Infrastructure,Railway Infrastructure
BFUTILITIE,BF Utilities,Construction & Infrastructure,Diversified EPC & Construction
TECHNOCRAF,Technocraft Ventures,Construction & Infrastructure,Diversified EPC & Construction
IONEXCHANG,ION Exchange (India),Construction & Infrastructure,Water & Environment Infrastructure
AWHCL,Antony Waste Handling Cell,Construction & Infrastructure,Water & Environment Infrastructure
SHIPROCKET,Shiprocket,Logistics & Transport,Express & E-commerce Logistics
DELHIVERY,Delhivery,Logistics & Transport,Express & E-commerce Logistics
SHADOWFAX,Shadowfax Technologies,Logistics & Transport,Express & E-commerce Logistics
BLUEDART,Blue Dart Express,Logistics & Transport,Express & E-commerce Logistics
TCIEXP,TCI Express,Logistics & Transport,Express & E-commerce Logistics
TCI,Transport Corporation of India,Logistics & Transport,Integrated Logistics & 3PL
TVSSCS,TVS Supply Chain Solutions,Logistics & Transport,Integrated Logistics & 3PL
MAHLOG,Mahindra Logistics,Logistics & Transport,Integrated Logistics & 3PL
ALLCARGO,Allcargo Logistics,Logistics & Transport,Integrated Logistics & 3PL
AGL,Allcargo Global,Logistics & Transport,Integrated Logistics & 3PL
SKYWAYS,Skyways Air Services,Logistics & Transport,Integrated Logistics & 3PL
RITCO,Ritco Logistics,Logistics & Transport,Integrated Logistics & 3PL
LEAPIND,LEAP India,Logistics & Transport,Integrated Logistics & 3PL
VRLLOG,VRL Logistics,Logistics & Transport,Integrated Logistics & 3PL
SINDHUTRAD,Sindhu Trade Links,Logistics & Transport,Integrated Logistics & 3PL
CONCOR,Container Corporation of India,Logistics & Transport,Container & Rail Logistics
GATEWAY,Gateway Distriparks,Logistics & Transport,Container & Rail Logistics
NAVKARCORP,Navkar Corporation,Logistics & Transport,Container & Rail Logistics
ADANIPORTS,Adani Ports and Special Economic Zone,Logistics & Transport,"Ports, Airports & Aviation"
JSWINFRA,JSW Infrastructure,Logistics & Transport,"Ports, Airports & Aviation"
GPPL,Gujarat Pipavav Port,Logistics & Transport,"Ports, Airports & Aviation"
INDIGO,InterGlobe Aviation,Logistics & Transport,"Ports, Airports & Aviation"
GMRAIRPORT,Gmr Airports,Logistics & Transport,"Ports, Airports & Aviation"
GESHIP,Great Eastern Shipping Company,Logistics & Transport,Shipping
